燃油网约车,除成都外的四川地区,北部湾,个人或商贸,24%,3%,需要先评分，不含成都地市区0-2分0.95折，3-4分1折，5分1.2折。4年内。。全川，6年内，NCD≤1.2，投被为个人，车主可个体户，禁保：单位，禁保RUV。
新能源网约车,无限制,现代,不限,6%+2%,3%,旧车系统自评，1-2分，0.85折；3A分，0.85折；3B-5A分，0.95折；5B-5C分，1折；5D-6B分，1.1折。过户车可承保3年内，3分以内，单位投保单的；5分以内可承保。新车购置≤25万，车龄≤4，车损+三者≥100万+座位≥1万；单商、无车损，必保座位5万+驾意，可承保8年内；禁保：单交、NCD>1.2。2次道路救援（50公里内），可医保外用药。宜宾身份证不保。禁保：特斯拉、威马汽车
新能源网约车,无限制,长江,个人或商贸,6%+2%,3%,1、系统光博分70分（含）以下，商业险旧车折扣0.9折（不区分专车快车），NCD≤1，出现次数≤3次；2、其他条件：投、被、车主需要一致（个体工商户需要法人投保）；年龄≥27岁（含）；不承保三州、宜宾身份证，不要过户车，禁保车型：哪吒、威马、特斯拉、飞凡、小鹏、力帆、蔚来、理想、岚图、高合、智己、腾势、赛力斯、精灵阿维塔，放开比亚迪全系，东风风神、东风风行。可以加2000免赔，可承保三者医保10万元；
新能源网约车,无限制,亚太,个人,新车4%，旧车5%,0%,"单商，新车系数1.2折，评分在1-60分，不限制车型。不能及时起保（新车加驾意险288），（发票必须为AGMZJFHC）.承保时提供交强保单。交强出人保；旧车，单商川A/G,1.1折，川Z/C/J，1.15折，评分1-60分，核过就能出 ，不要宜宾身份证"
新能源网约车,无限制,华安,不限,4%,0%,单商新车；1.2折，必保车损+三者100+座位5万，大四川范围内身份证、发票。承保条件：①出单时需提供标的车辆交强险保单方可承保；交强出人保。不要宜宾身份证
新能源网约车,无限制,人保,不限,个人户3%，单位车2.5%,0%,1.35折。新车要求：车损+三者100+座位5万，燃油电动车都可。
新能源网约车,无限制,平安,不限,3%，旧车2.5%,0%,1.35折，要求： 车损、三者100万、座位。核过为准。限保车型：特斯拉，理想，小鹏，蔚来，高合，精灵，飞凡，智己，腾势汽车，长安深蓝、哪吒
新能源网约车,无限制,泰山,个人,8%,3%,仅旧车，套单，1.1折，；3、NCD=1.2，折扣系数1.35折；禁保：NCD大于1.2，小鹏、特斯拉、蔚来、威马、比亚迪、哪吒、几何、欧拉不保，25岁以下拒保，不要过户车
新能源网约车,无限制,泰山,不限,5%，客户自己处理交强险6%,0%,旧车单商1.15折，公司户（不包含商贸部）1.1折。不后补交强。过户车，旧车6年内；NCD＝1.2，1.35折扣；禁保：NCD大于1.2，小鹏、特斯拉、蔚来、威马、比亚迪、哪吒、几何、欧拉不保，25岁以下拒保。车队承保比亚迪需提前报备，
新能源网约车,无限制,北部湾,个人或商贸,9%,3%,需要先评分，全川，0-1分0.85折，2-3分09折，4-5分1.05折。全川，4年内，NCD≤1.2，投被为个人，车主可商贸部，禁保单位，禁保RUV。投被保险人必须改个人户.可买医保外用药
新能源网约车,无限制,鼎和,不限,4%,0%,个人1折，单位1.1折，出过险1.2折，车龄4年内，不区分车型，必保车损+三者100+座位1万；禁保新车、禁保出险次数≥2次，UBI评分70分以下。
新能源网约车,无限制,国任,个人（专车）,4%,0%,0.88折起。比亚迪汉、比亚迪E9、比亚迪海豹、 大众迈腾、帕萨特、东风日产天籁、丰田凯美瑞中级车、起亚、本田、别克、福特、标致(且新车购置价18万以上) 。个人户和单位户，均只承保3年内套单，且只承保0-1次出险客户，承保险种为必保车损、三者100，万，座位1万起。能分期。禁保: 车主、被保人年龄30岁以下。单位车需要报备
新能源网约车,无限制,华农,个人或商贸,4%,3%,套单1折，单商0.9-1折，4年内旧车，只能川A；仅限个人户/商贸部，商贸部可以换投被为个人；必保险种：三者（100以上200万以下）+车损+座位险（每座5万以上）买承运人责任险每座最低1万；不予承保车型：比亚迪、、哪吒、威马、力帆；单交强不保；NCD 系数＞ 1 不保；过户车不保，7座不保，有限公司类户不保！！
新能源网约车,无限制,安诚,不限,6%,0%,旧车单商，1折；1、承保险种:商业险:车损险、三者险(保额≥100万)、座位险保额≥2万，以上为必保，精神损害补偿性(保额≤10万元)为选择性承保。2、其他承保条件:仅承保川A、川G车辆，NCD≤1，车龄≤3年，不承保过户车。无限制车型
新能源货车,无限制,人保,不限,4%,0%,营业/非营业，新旧车，系统核过为准，系数1.35。营业64分以下，非营业63以下
新能源货车,无限制,太平洋,不限,1.5%,0%,营业，新旧车，系统核过为准，系数1.35
新能源货车,无限制,永安,不限,6%,3%,新旧车，营业货车，三者不低于200万。 1.1折起，看评分，评分不好或者出险的可以上调折扣。评分D\E不承保
燃油货车,无限制,华农,不限,20%,3%,营业、非营业货车，1.35折，川Y、X、U、V、Q、E货车不保。其他地区都可以
燃油货车,无限制,人保,不限,0%,0%,燃油性营业货车（B01、B02、B21），系数1折
燃油货车,无限制,京东,不限,19%,3%,核过为准
燃油货车,无限制,泰山,不限,0%,0%,"禁川UVWQL,套单，只要2吨以下非营运货车;不分新旧(旧车需验车承保);不保仓栅，冷冻、厢式货车，4座内的1.5吨以上柴油，自主系数1"
